Reference, Value, Footprint, Datasheet, Note
U1,EFM32GG232F1024,pre:QFP64,
C130,1u,Capacitors_SMD:C_0805_HandSoldering,
R72,634,Resistors_SMD:R_0805_HandSoldering,
C132,470p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R76,91,Resistors_SMD:R_0805_HandSoldering,
R77,91,Resistors_SMD:R_0805_HandSoldering,
C134,470p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R73,634,Resistors_SMD:R_0805_HandSoldering,
C136,2.7n,Capacitors_SMD:C_0603_HandSoldering,,NP0
P15,LIN,pa:Terminal_Block_2_2.5mm,
R67,100k,Resistors_SMD:R_0805_HandSoldering,
R69,634,Resistors_SMD:R_0805_HandSoldering,
R62,3.3k,Resistors_SMD:R_0805_HandSoldering,
R63,3.3k,Resistors_SMD:R_0805_HandSoldering,
C126,10n,Capacitors_SMD:C_0603_HandSoldering,
C128,100u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
U18,SD103ASDM,pre:SOT-26-6,
U17,SD103ASDM,pre:SOT-26-6,
